id,tv,radio,newspaper,sales
115,78.2,46.8,34.5,14.6
174,168.4,7.1,12.8,11.7
6,8.7,48.9,75.0,7.2
127,7.8,38.9,50.6,6.6
118,76.4,0.8,14.8,9.4
74,129.4,5.7,31.3,11.0
141,73.4,17.0,12.9,10.9
99,289.7,42.3,51.2,25.4
173,19.6,20.1,17.0,7.6
97,197.6,3.5,5.9,11.7
170,284.3,10.6,6.4,15.0
98,184.9,21.0,22.0,15.5
32,112.9,17.4,38.6,11.9
13,23.8,35.1,65.9,9.2
36,290.7,4.1,8.5,12.8
120,19.4,16.0,22.3,6.6
43,293.6,27.7,1.8,20.7
190,18.7,12.1,23.4,6.7
91,134.3,4.9,9.3,11.2
137,25.6,39.0,9.3,9.5
52,100.4,9.6,3.6,10.7
128,80.2,0.0,9.2,8.8
163,188.4,18.1,25.6,14.9
42,177.0,33.4,38.7,17.1
119,125.7,36.9,79.2,15.9
114,209.6,20.6,10.7,15.9
27,142.9,29.3,12.6,15.0
140,184.9,43.9,1.7,20.7
101,222.4,4.3,49.8,11.7
112,241.7,38.0,23.2,21.8
3,17.2,45.9,69.3,9.3
78,120.5,28.5,14.2,14.2
47,89.7,9.9,35.7,10.6
188,191.1,28.7,18.2,17.3
192,75.5,10.8,6.0,9.9
86,193.2,18.4,65.7,15.2
162,85.7,35.8,49.3,13.3
37,266.9,43.8,5.0,25.4
191,39.5,41.1,5.8,10.8
62,261.3,42.7,54.7,24.2
23,13.2,15.9,49.6,5.6
142,193.7,35.4,75.6,19.2
102,296.4,36.3,100.9,23.8
34,265.6,20.0,0.3,17.4
12,214.7,24.0,4.0,17.4
195,149.7,35.6,6.0,17.3
160,131.7,18.4,34.6,12.9
7,57.5,32.8,23.5,11.8
28,240.1,16.7,22.9,15.9
121,141.3,26.8,46.2,15.5
5,180.8,10.8,58.4,12.9
33,97.2,1.5,30.0,9.6
143,220.5,33.2,37.9,20.1
146,140.3,1.9,9.0,10.3
110,255.4,26.9,5.5,19.8
145,96.2,14.8,38.9,11.4
11,66.1,5.8,24.2,8.6
63,239.3,15.5,27.3,15.7
113,175.7,15.4,2.4,14.1
147,240.1,7.3,8.7,13.2
167,17.9,37.6,21.6,8.0
1,230.1,37.8,69.2,22.1
199,283.6,42.0,66.2,25.5
154,171.3,39.7,37.7,19.0
71,199.1,30.6,38.7,18.3
124,123.1,34.6,12.4,15.2
65,131.1,42.8,28.9,18.0
45,25.1,25.7,43.3,8.5
164,163.5,36.8,7.4,18.0
29,248.8,27.1,22.9,18.9
41,202.5,22.3,31.6,16.6
109,13.1,0.4,25.6,5.3
156,4.1,11.6,5.7,3.2
157,93.9,43.5,50.5,15.3
26,262.9,3.5,19.5,12.0
24,228.3,16.9,26.2,15.5
185,253.8,21.3,30.0,17.6
148,243.2,49.0,44.3,25.4
82,239.8,4.1,36.9,12.3
40,228.0,37.7,32.0,21.5
169,215.4,23.6,57.6,17.1
48,239.9,41.5,18.5,23.2
95,107.4,14.0,10.9,11.5
155,187.8,21.1,9.5,15.6
44,206.9,8.4,26.4,12.9
139,43.0,25.9,20.5,9.6
4,151.5,41.3,58.5,18.5
106,137.9,46.4,59.0,19.2
54,182.6,46.2,58.7,21.2
134,219.8,33.5,45.1,19.6
181,156.6,2.6,8.3,10.5
179,276.7,2.3,23.7,11.8
186,205.0,45.1,19.6,22.6
50,66.9,11.7,36.8,9.7
81,76.4,26.7,22.3,11.8
35,95.7,1.4,7.4,9.5
8,120.2,19.6,11.6,13.2
111,225.8,8.2,56.5,13.4
92,28.6,1.5,33.0,7.3
84,68.4,44.5,35.6,13.6
177,248.4,30.2,20.3,20.2
182,218.5,5.4,27.4,12.2
90,109.8,47.8,51.4,16.7
9,8.6,2.1,1.0,4.8
14,97.5,7.6,7.2,9.7
60,210.7,29.5,9.3,18.4
172,164.5,20.9,47.4,14.5
132,265.2,2.9,43.0,12.7
18,281.4,39.6,55.8,24.4
73,26.8,33.0,19.3,8.8
176,276.9,48.9,41.8,27.0
135,36.9,38.6,65.6,10.8
168,206.8,5.2,19.4,12.2
184,287.6,43.0,71.8,26.2
64,102.7,29.6,8.4,14.0
55,262.7,28.8,15.9,20.2
108,90.4,0.3,23.2,8.7
51,199.8,3.1,34.6,11.4
197,94.2,4.9,8.1,9.7
59,210.8,49.6,37.7,23.8
49,227.2,15.8,49.9,14.8
89,88.3,25.5,73.4,12.9
22,237.4,5.1,23.5,12.5
58,136.2,19.2,16.6,13.2
161,172.5,18.1,30.7,14.4
193,17.2,4.1,31.6,5.9
130,59.6,12.0,43.1,9.7
38,74.7,49.4,45.7,14.7
158,149.8,1.3,24.3,10.1
194,166.8,42.0,3.6,19.6
2,44.5,39.3,45.1,10.4
53,216.4,41.7,39.6,22.6
150,44.7,25.8,20.6,10.1
131,0.7,39.6,8.7,1.6
152,121.0,8.4,48.7,11.6
104,187.9,17.2,17.9,14.7
100,135.2,41.7,45.9,17.2
117,139.2,14.3,25.6,12.2
88,110.7,40.6,63.2,16.0
75,213.4,24.6,13.1,17.0
122,18.8,21.7,50.4,7.0
200,232.1,8.6,8.7,13.4
21,218.4,27.7,53.4,18.0
189,286.0,13.9,3.7,15.9
72,109.8,14.3,31.7,12.4
107,25.0,11.0,29.7,7.2
15,204.1,32.9,46.0,19.0
93,217.7,33.5,59.0,19.4
180,165.6,10.0,17.6,12.6
103,280.2,10.1,21.4,14.8
